ConsolidatedWarehouseID,PIMCoreWarehouseID,Name,isSeller,isSweepable,IsSatellite,IsResupplier,IsBDWP,IsCustomerPickup,PostalCode,Deleted,Address,City,StateProv,CountryID,BDWPName,CarrierID,AliasName,ContactFirstName,ContactLastName,Phone,Email,Fax,IsSchneiderRating
2000502,69388,BDWP BC,FALSE,,,,-1,-1,V6V1K4,0,Door 10 - 13333 Vulcan Way,Richmond,BC,9,BDVancouver,,"BD - Vancouver, BC",Appointment,Phone,877-631-2845,builddirect@abf.com,,
2000505,69392,BDWP CA LA,FALSE,,,,-1,-1,90810,0,2011 E. Carson Street,Carson,CA,225,ABF-Carson,,"BD - Los Angeles, CA",Appointment,Phone,310-522-5506 Ext 119,builddirect@abf.com,,-1
2000507,69394,BDWP NJ - Cranbury,FALSE,,,TRUE,-1,-1,8512,0,1240 Cranbury South River Road,Cranbury,NJ,225,ABF-CranburyNJ,,BD - Metro NY / New Jersey,Appointment,Phone,609-366-1050,builddirect@abf.com,,
2000511,69400,BDWP GA,FALSE,,,TRUE,-1,-1,30336,0,650 Selig Drive,Atlanta,GA,225,ABF-Atlanta,,"BD - Atlanta, GA",Appointment,Phone,404-699-1062 EXT 234,builddirect@abf.com,,
2000514,69422,BDWP IL - Bolingbrook,FALSE,,TRUE,,-1,-1,60440,0,1450 Remington Blvd,Bolingbrook,IL,225,ABF-Bolingbrook,,"BD - Bolingbrook, IL",Appointment,Phone,630-759-1520 EXT 333,builddirect@abf.com,,
2000819,128081,BDWP Hutchins TX,FALSE,,TRUE,,-1,-1,75141,0,1005 W Wintergreen Rd,Hutchins,TX,225,ABF-HutchinsTX,,"BD - Hutchins, TX",Appointment,Phone,972-290-8002,builddirect@abf.com,,-1
2000001,69374,AAA DISTRIBUTOR INC - PA,TRUE,TRUE,,,0,0,19114,0,2501 GRANT AVE,Philadelphia,PA,225,,,S - AAA DISTRIBUTOR INC - Philadelphia - PA - 19114,"Vlad,Ed","Prist, Arabadzhi",215-745-7900,VLAD@AAADISTRIBUTOR.COM;info@aaadistributor.com,,
2000002,69379,ACI,TRUE,TRUE,,,0,0,55379,0,7802 E. HWY 101 Bay 200,Shakopee,MN,225,,,S - ACI - Shakopee - MN - 55379,Brenda;Tim,Swanson;Conyard,952-224-9110,info@aciprefinish.com;tc@aciprefinish.com,952-224-9113,
2000003,69427,Alessco Inc Warehouse CA,TRUE,TRUE,,,0,-1,91605,0,"13161 Sherman Way, Unit C",North Hollywood,CA,225,,,S - Alessco Inc Warehouse - North Hollywood - CA - 91605,Robert,Unizycki,818-821-8278,,,
2000004,71077,Alexandria,TRUE,TRUE,,,0,-1,22312,0,5650 General Washington Drive,Alexandria,VA,225,,,S - Alexandria - VA - 22312,Richard,,703-256-5650,order@tileoptima.com,703 256-8878,
2000005,70273,Alhambra Warehouse,TRUE,TRUE,,,0,0,91803,0,616 S Marengo Ave,Alhambra,CA,225,,,S - Alhambra - CA - 91803,William,Zhai,626 500-9655,wmgwarehouse@gmail.com,626-737-8567,
2000006,69432,Aljoma,TRUE,TRUE,,,0,0,33178,0,10300 NW 121 Way,Medley,FL,225,,,S - Aljoma - Medley - FL - 33178,Mike,Nuclo,305-556-8003,mnuclo@ufpi.com;sdaly@ufpi.com;johndavies@builddirect.com,,
2000007,69437,Alucom Miami,TRUE,TRUE,,,0,0,33172,0,2145 NW 115TH AVE,Miami,FL,225,,,S - Alucom - Miami - FL - 33172,Debora,Larach Baad,(305) 414 2705,dlarach@alucom.com,,
2000008,69439,Alucom Missouri,TRUE,TRUE,,,0,0,65721,0,1645 West Lloyd,Ozark,MO,225,,,S - Alucom Missouri - Ozark - MO - 65721,Brian,Cogdill,(417) 766 2825,bcogdill@alucom.com,,
2000009,70963,AMERICAN SELECT WHSE (AMS),TRUE,TRUE,,,0,0,7206,0,"173-57 MYRTLE STREET, BLDG E",ELIZABETH,NJ,225,,,S - AMERICAN SELECT WHSE (AMS) - ELIZABETH - NJ - 7206,,,908-354-5050,,908-527-0087,
2000010,69911,Anaheim - EmilAmerica Inc,TRUE,TRUE,,,0,0,92805,0,145 West Santa Ana Street,Anaheim,CA,225,,,S - EmilAmerica Inc - Anaheim - CA - 92805,Glenn,Bush,714-774-3645,msaucedo@emilamerica.com;gbush@emilamerica.com,714-774-5683,
2000011,69932,Anaheim - Eurowest,TRUE,TRUE,,,0,-1,92805,0,1380 S. Vernon St.,Anaheim,CA,225,,,S - Eurowest - Anaheim - CA - 92805,Ninya,Cornillez,714 937-7500,ncornillez@eurowest.com,714 937-7510,-1
2000012,70153,Anaheim - Iris US,TRUE,TRUE,,,0,-1,92805,0,1360 Vernon Street,Anaheim,CA,225,,,S - Iris US - Anaheim - CA - 92805,Marco,Portiglia,800 323-9906,mportiglia@irisus.com;tinaly@irisus.com,866 398-4747,-1
2000013,70554,Anaheim - National Turf Supply,TRUE,,,,0,0,92806,0,1400 N. DALY STREET,Anaheim,CA,225,,,S - Anaheim - National Turf Supply - Anaheim - CA - 92806,"Edwin, Sonja, Debbie","Rodriguez, Hardison, Kraus",877-688-4229,bdsales@nationalturfsupply.com;edwinr@nationalturfsupply.com,310-631-0665,
2000014,70753,"Anhui Sentai WPC New Material Co.,Ltd",TRUE,,,,0,0,242237,0,North part of Changan Road,Xuancheng,Anhui,16,,,"S - Anhui Sentai WPC New Material Co.,Ltd - Xuancheng - Anhui - 242237",Lisa,Lee,0086-572-5233870,lisa@sentaigroup.com;sentaizy@163.com;johndavies@builddirect.com,0086-572-5233752,
2000015,69457,"Anji Huaxin Bamboo & Wood Products Co.,Ltd",TRUE,,,,0,0,303302,0,"Tiangai Village Shangshu Town, Anji County",Huzhou,Zhejiang,16,,,"S - Anji Huaxin Bamboo & Wood Products Co.,Ltd - Huzhou - Zhejiang - 303302",Jilly,,5725528586,ylc@hx-zm.com,5725528568,
