"ltlCode","weightLo","weightHi"
1000,0,100
1000,100,200
1000,200,300
1000,300,400
1000,400,500
1000,500,600
1000,600,700
2000,0,100
2000,100,200
2000,200,300
2000,300,400
2000,400,500
2000,500,600
2000,600,700
3000,0,100
3000,100,200
3000,200,300
3000,300,400
3000,400,500
3000,500,600
3000,600,700
4000,0,100
4000,100,200
4000,200,300
4000,300,400
4000,400,500
4000,500,600
4000,600,700
5000,0,100
5000,100,200
5000,200,300
5000,300,400
5000,400,500
5000,500,600
5000,600,700
6000,0,100
6000,100,200
6000,200,300
6000,300,400
6000,400,500
6000,500,600
6000,600,700
